bleu_score, meteor_score
0.5918150152544451,0.8091657715717866
0.12008699630291321,0.5530910711391995
0.21690365808279138,0.6048204097510372
0.38501731899475716,0.6368421052631578
1.0,0.9998518518518519
0.20044282536569208,0.6603198095942879
0.611831793285395,0.8880284139799711
0.24719717067792044,0.635223534964674
0.48633831680799433,0.7706310679611651
0.4771512105691513,0.8570256483430243
0.42971941073524195,0.6589646464646465
0.5753571460350173,0.8300434512725017
0.6729864884660303,0.9813287016934433
0.40447833429727065,0.7799852832965417
0.47087130600152305,0.8381263706707495
0.3409483338605691,0.592841163310962
1.0,0.999898229187869
0.4578831372133982,0.9601814516129031
0.371515536116058,0.7077991452991454
0.5975969817602502,0.815289256198347
0.4935578819979932,0.8696219715956557
0.5452353574508253,0.7488207547169812
0.42728700639623407,0.6724489795918367
0.4835639039638356,0.6095818485427533
0.842362674378975,0.920940170940171
0.8107492451395732,0.8792196123732511
0.6403113144057488,0.823776758409786
0.49948458123903855,0.8030496183838015
0.669651075856659,0.8030496183838015
0.3541698766144061,0.7111519232731354
0.27098211583470044,0.66061686382542
0.3366496864175108,0.6109068627450981
0.3034797438636957,0.7271538141387718
0.16638505369603646,0.47581658291457285
0.19474706229960292,0.656389256895098
0.2666090188234886,0.6122448979591837
0.44903323241491255,0.8150160089218261
0.46892438882117243,0.8186789287267755
0.05823584617299056,0.41396979503775616
0.4352598446478626,0.8337451845093268
0.34868861721436467,0.844254251394358
0.7311104457090247,0.8613412228796845
0.4246183605185108,0.6919347965054335
0.46606087123583245,0.8123660850933581
0.7222450583670039,0.7957957957957958
0.6329726894897602,0.8822887887160099
0.7611606003349892,0.920940170940171
0.4428500142691474,0.8653508771929823
0.2574866101628968,0.6220657276995307
0.14377919100088188,0.53520987654321
0.7292571723872933,0.8972972972972975
0.6065997433337675,0.7577355836849509
0.45733444463149814,0.7523696682464456
